"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Featured.module.css", "CSS", 0, 0, 0, 78, 0, 15, 93
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Footer.module.css", "CSS", 0, 0, 0, 104, 0, 17, 121
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Header.module.css", "CSS", 0, 0, 0, 43, 0, 9, 52
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Headline.module.css", "CSS", 0, 0, 0, 24, 0, 5, 29
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Home.module.css", "CSS", 0, 0, 0, 182, 0, 25, 207
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Menu.module.css", "CSS", 0, 0, 0, 102, 0, 15, 117
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Search.module.css", "CSS", 0, 0, 0, 169, 0, 30, 199
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\SearchComponent.module.css", "CSS", 0, 0, 0, 39, 0, 6, 45
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Spotlight.module.css", "CSS", 0, 0, 0, 106, 0, 22, 128
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\TitlePicture.module.css", "CSS", 0, 0, 0, 45, 0, 8, 53
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\Trending.module.css", "CSS", 0, 0, 0, 55, 0, 8, 63
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\fonts.css", "CSS", 0, 0, 0, 5, 0, 1, 6
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\styles\globals.css", "CSS", 0, 0, 0, 19, 0, 3, 22
"Total", "-", 2699, 104, 1457, 1597, 17, 573, 6447
